marker,mean,std,source
bankssts_lh_all_connectivity,0.3465090762,0.0067093129,regression exacte (residu < 1e-14)
bankssts_lh_all_entropy,0.794924876,0.0116188826,regression exacte (residu < 1e-14)
bankssts_lh_all_periodic,0.0653397346,0.0283311904,regression exacte (residu < 1e-14)
bankssts_lh_alpha_connectivity,0.3542682832,0.01448697,regression exacte (residu < 1e-14)
bankssts_lh_alpha_entropy,0.5739859422,0.0022386533,regression exacte (residu < 1e-14)
bankssts_lh_alpha_periodic,0.0316836843,0.1191868841,regression exacte (residu < 1e-14)
bankssts_lh_beta_connectivity,0.3466652065,0.0065620132,regression exacte (residu < 1e-14)
bankssts_lh_beta_entropy,0.7210298049,0.0051130821,regression exacte (residu < 1e-14)
bankssts_lh_beta_periodic,0.0305698015,0.0394496322,regression exacte (residu < 1e-14)
bankssts_lh_delta_connectivity,0.3320506709,0.0226884122,regression exacte (residu < 1e-14)
bankssts_lh_delta_entropy,0.4589663577,0.0011068392,regression exacte (residu < 1e-14)
bankssts_lh_delta_periodic,0.2166013673,0.1481323133,regression exacte (residu < 1e-14)
bankssts_lh_exponent,0.7463696224,0.3348644585,regression exacte (residu < 1e-14)
bankssts_lh_gamma_connectivity,0.3494864464,0.0092444951,regression exacte (residu < 1e-14)
bankssts_lh_gamma_entropy,0.8483453898,0.0016965978,regression exacte (residu < 1e-14)
bankssts_lh_gamma_periodic,0.0967994204,0.0552619707,regression exacte (residu < 1e-14)
bankssts_lh_theta_connectivity,0.3294024743,0.0111637545,regression exacte (residu < 1e-14)
bankssts_lh_theta_entropy,0.5153337841,0.0019709378,regression exacte (residu < 1e-14)
bankssts_lh_theta_periodic,0.0488385133,0.1047139654,regression exacte (residu < 1e-14)
bankssts_rh_all_connectivity,0.3461495792,0.0068134602,regression exacte (residu < 1e-14)
bankssts_rh_all_entropy,0.7939925777,0.0113142253,regression exacte (residu < 1e-14)
bankssts_rh_all_periodic,0.0642480272,0.0283947607,regression exacte (residu < 1e-14)
bankssts_rh_alpha_connectivity,0.3545826826,0.0146658316,regression exacte (residu < 1e-14)
bankssts_rh_alpha_entropy,0.5739890015,0.002236265,regression exacte (residu < 1e-14)
bankssts_rh_alpha_periodic,0.0406835716,0.121109033,regression exacte (residu < 1e-14)
bankssts_rh_beta_connectivity,0.3461497451,0.006260246,regression exacte (residu < 1e-14)
bankssts_rh_beta_entropy,0.7203917189,0.0049426928,regression exacte (residu < 1e-14)
bankssts_rh_beta_periodic,0.0286192038,0.0383546277,regression exacte (residu < 1e-14)
bankssts_rh_delta_connectivity,0.33210213,0.0223162136,regression exacte (residu < 1e-14)
bankssts_rh_delta_entropy,0.4589821335,0.0010281584,regression exacte (residu < 1e-14)
bankssts_rh_delta_periodic,0.1963468167,0.1355266366,regression exacte (residu < 1e-14)
bankssts_rh_exponent,0.7961008102,0.3169328397,regression exacte (residu < 1e-14)
bankssts_rh_gamma_connectivity,0.3489129119,0.0089525211,regression exacte (residu < 1e-14)
bankssts_rh_gamma_entropy,0.8482186696,0.0016984915,regression exacte (residu < 1e-14)
bankssts_rh_gamma_periodic,0.0959208747,0.0529035703,regression exacte (residu < 1e-14)
bankssts_rh_theta_connectivity,0.3290608401,0.0109404908,regression exacte (residu < 1e-14)
bankssts_rh_theta_entropy,0.515458067,0.0019574968,regression exacte (residu < 1e-14)
bankssts_rh_theta_periodic,0.0432726603,0.1016078418,regression exacte (residu < 1e-14)
caudalanteriorcingulate_lh_all_connectivity,0.3454959756,0.0055985297,regression exacte (residu < 1e-14)
