,Shapiro_val,Shapiro_p,Skewness,Kurtosis,AIC,BIC,SMSE,MSLL,marker
bankssts_lh_cf_alpha,0.9582072106634892,7.033891977073768e-14,-0.3174429630832234,-0.1578676023993082,[2093.12242406],[2278.40249067],0.9822200528867376,0.0036059616058569,bankssts_lh_cf_alpha
bankssts_rh_cf_alpha,0.988546655617518,9.476318403633014e-06,0.1006035028466197,-0.3556749419855238,[1991.878798],[2177.99336395],0.9604937012514436,0.1962320789881052,bankssts_rh_cf_alpha
caudalanteriorcingulate_lh_cf_alpha,0.988827630527085,2.539382439266289e-06,-0.1276771444611029,0.1135424148650265,[2489.3104434],[2681.13866624],0.9778058818755774,-0.0015993978510529,caudalanteriorcingulate_lh_cf_alpha
caudalanteriorcingulate_rh_cf_alpha,0.9885304654532016,1.936981863398903e-06,-0.1190291277035612,0.1272525384040155,[2467.36107747],[2659.05474088],0.9788577584787128,0.0013996755076059,caudalanteriorcingulate_rh_cf_alpha
caudalmiddlefrontal_lh_cf_alpha,0.944932535102092,7.451150434210651e-17,-0.4521808470700336,0.044479325500887,[2233.07727287],[2421.25386647],0.9895402274002724,0.0035055763727809,caudalmiddlefrontal_lh_cf_alpha
caudalmiddlefrontal_rh_cf_alpha,0.950224433625399,1.7218381105401385e-15,-0.2404339017891655,0.1104611883053192,[2125.92391571],[2311.9868833],0.9754600244817432,0.0029148477927204,caudalmiddlefrontal_rh_cf_alpha
cuneus_lh_cf_alpha,0.994237250617002,0.0009020847142745,0.0021231096734448,-0.2633191822107412,[2230.58422902],[2425.63474016],0.9209680422301152,0.8570717032329432,cuneus_lh_cf_alpha
cuneus_rh_cf_alpha,0.9947501951794976,0.0020491327512956,-0.0207791857300266,-0.2108252187331634,[2237.53028959],[2432.249321],0.9269216758717688,1.0978182450896874,cuneus_rh_cf_alpha
entorhinal_lh_cf_alpha,0.9520516834699196,1.2132552401829658e-15,-0.3336872539811905,0.3599378187928401,[2264.15442567],[2452.33096387],0.9833323277502288,0.0078059991929108,entorhinal_lh_cf_alpha
entorhinal_rh_cf_alpha,0.9779184515376536,9.090532714359391e-10,-0.2158421789371274,-0.1585474965487296,[2159.57083649],[2347.74738978],0.9238893083973688,-0.0942440863594339,entorhinal_rh_cf_alpha
frontalpole_lh_cf_alpha,0.9672504297671664,2.3317118579742857e-10,0.0208288672611526,-0.4488566580223776,[1610.49278557],[1786.63571235],0.9648433509335844,-0.0318248973434335,frontalpole_lh_cf_alpha
frontalpole_rh_cf_alpha,0.9764649912805344,1.0451503999751893e-08,-0.0555447956737892,-0.2892605817498026,[1789.17667931],[1968.1939879],0.9738032281303788,-0.0005431589612933,frontalpole_rh_cf_alpha
fusiform_lh_cf_alpha,0.9895829104205146,9.42254718096805e-06,0.1389660399775262,-0.2801856720855995,[2191.9976753],[2381.99489427],0.9512515497455684,0.193830159608815,fusiform_lh_cf_alpha
fusiform_rh_cf_alpha,0.9927220629742978,0.0003945784750593,0.0968553837472476,-0.3051964066303974,[2156.33348549],[2345.66959892],0.9526766442935428,0.2085910957223038,fusiform_rh_cf_alpha
inferiorparietal_lh_cf_alpha,0.9888822464386056,5.105702325970928e-06,0.118101287736594,-0.2884042226856302,[2180.52802583],[2370.10147643],0.9686831012997617,0.3621834592202786,inferiorparietal_lh_cf_alpha
inferiorparietal_rh_cf_alpha,0.9898458412840369,1.0474367085978288e-05,0.083431852649174,-0.376810830103198,[2124.12269306],[2314.77036685],0.9773095528316674,1.095998827227301,inferiorparietal_rh_cf_alpha
inferiortemporal_lh_cf_alpha,0.9911551687810066,8.571345510788837e-05,0.0905625022917088,-0.2466007479736434,[2114.66694618],[2302.69611171],0.9681144109598264,0.1009898155235758,inferiortemporal_lh_cf_alpha
inferiortemporal_rh_cf_alpha,0.9535517056826563,1.8104381768855967e-15,-0.5251177156514926,-0.079153108437584,[2241.8722964],[2430.48767236],0.9718964768617554,-0.0145501992260285,inferiortemporal_rh_cf_alpha
insula_lh_cf_alpha,0.959082352906296,3.2759781468875255e-14,-0.3945423944737408,-0.072084144159759,[2182.22386051],[2369.90725269],0.960355672176588,-0.0540988282871347,insula_lh_cf_alpha
